word,side,affix,root,root_free,method,zipf,freq,comp
riser,suffix,er,rise,True,family,2.88,7.59e-07,-0.08249354362487793
philippians,suffix,ian,philip,True,freeroot,2.68,4.79e-07,-0.08131049573421478
killingly,suffix,ly,kill,True,family,1.65,4.47e-08,-0.08123850077390671
chiefly,suffix,ly,chief,True,family,3.42,2.63e-06,-0.08099920302629471
report,prefix,re,port,True,family,5.32,0.000209,-0.08067277818918228
outlook,prefix,out,look,True,family,4.07,1.17e-05,-0.08044972270727158
commodity,suffix,ity,commode,True,family,3.86,7.24e-06,-0.08036614954471588
aftermath,prefix,after,math,True,family,3.9,7.94e-06,-0.07978212088346481
local,suffix,al,loc,True,family,5.43,0.000269,-0.07676801830530167
numerous,suffix,ious,numer,True,family,4.65,4.47e-05,-0.07649479061365128
casualty,suffix,ity,casual,True,family,3.61,4.07e-06,-0.07412592321634293
fisher,suffix,er,fish,True,family,4.02,1.05e-05,-0.07395661622285843
corporal,suffix,al,corpor,False,family,3.65,4.47e-06,-0.07266642153263092
actuary,suffix,ory,act,True,family,2.5,3.16e-07,-0.07237792015075684
absolutely,suffix,ly,absolute,True,family,4.98,9.55e-05,-0.0696515440940857
bespeak,prefix,be,speak,True,family,1.75,5.62e-08,-0.06964658945798874
archly,suffix,ly,arch,True,family,1.66,4.57e-08,-0.06813879311084747
capitation,suffix,ion,capit,False,family,1.71,5.13e-08,-0.06781578809022903
oversee,prefix,over,see,True,family,3.51,3.24e-06,-0.06575896590948105
apparent,suffix,ant,appar,True,family,4.32,2.09e-05,-0.06496503204107285
miner,suffix,er,mine,True,family,3.58,3.8e-06,-0.06403937935829163
discount,prefix,dis,count,True,family,4.35,2.24e-05,-0.06359706819057465
particulate,suffix,ate,particle,True,family,3.04,1.1e-06,-0.06298574805259705
martian,suffix,ian,mart,True,freeroot,3.39,2.45e-06,-0.06275883316993713
predator,suffix,or,pred,True,freeroot,3.71,5.13e-06,-0.06254728138446808
canine,suffix,ine,can,True,family,3.33,2.14e-06,-0.06197590380907059
estimate,suffix,ate,esteem,True,family,4.29,1.95e-05,-0.061692383140325546
prefect,prefix,pre,fect,False,family,3.09,1.23e-06,-0.061389461159706116
refuse,prefix,re,fuse,True,family,4.39,2.45e-05,-0.061286501586437225
rosen,suffix,en,rose,True,family,3.4,2.51e-06,-0.06062428280711174
battlements,suffix,ment,battle,True,family,2.54,3.47e-07,-0.06042207404971123
boxy,suffix,y,box,True,family,2.65,4.47e-07,-0.05996884033083916
conferment,suffix,ment,confer,True,family,1.64,4.37e-08,-0.05996117740869522
vestment,suffix,ment,vest,True,family,1.85,7.08e-08,-0.05921115726232529
lignite,suffix,ite,line,True,family,2.46,2.88e-07,-0.05758024379611015
knoweth,suffix,th,know,True,family,2.2,1.58e-07,-0.057318639010190964
delectation,suffix,ion,delect,False,family,1.85,7.08e-08,-0.05707230046391487
concretion,suffix,ion,concrete,True,family,1.61,4.07e-08,-0.056951023638248444
voter,suffix,er,vote,True,family,4.11,1.29e-05,-0.056895945221185684
heady,suffix,y,head,True,family,2.93,8.51e-07,-0.05687886103987694
