word,root,affix,side,zipf,comp
unusual,usual,un,prefix,4.45,0.3491685390472412
retrain,train,re,prefix,2.52,0.34924426674842834
selfless,self,less,suffix,3.3,0.3494901955127716
misread,read,mis,prefix,2.96,0.34968993067741394
calvinism,calvin,ism,suffix,2.58,0.34998828172683716
consumerism,consumer,ism,suffix,2.98,0.3501410484313965
expansionist,expansion,ist,suffix,2.57,0.3502782881259918
disbelief,belief,dis,prefix,3.43,0.350308358669281
preparedness,prepared,ness,suffix,3.32,0.35050252079963684
penalize,penal,ize,suffix,2.74,0.35152924060821533
disagreements,agreements,dis,prefix,3.38,0.35156336426734924
favorable,favor,able,suffix,3.85,0.3516412675380707
imperialism,imperial,ism,suffix,3.38,0.35174235701560974
mistrust,trust,mis,prefix,3.06,0.3518562316894531
predisposed,disposed,pre,prefix,2.81,0.35281452536582947
retractable,retract,able,suffix,2.94,0.3530614674091339
superbowl,bowl,super,prefix,3.06,0.3530806303024292
forestall,stall,fore,prefix,2.62,0.3532440960407257
leninism,lenin,ism,suffix,2.56,0.3534696698188782
unpacked,packed,un,prefix,2.8,0.35390862822532654
manliness,manly,ness,suffix,2.53,0.3543676435947418
outnumbered,numbered,out,prefix,3.35,0.3545343577861786
nonprofit,profit,non,prefix,3.86,0.35481178760528564
senseless,sense,less,suffix,3.35,0.3550525903701782
fateful,fate,ful,suffix,3.06,0.35518214106559753
uninjured,injured,un,prefix,2.65,0.3553626835346222
helpless,help,less,suffix,3.69,0.3553721010684967
rationalist,rational,ist,suffix,2.56,0.35542914271354675
individualism,individual,ism,suffix,3.0,0.35549837350845337
judgement,judge,ment,suffix,3.86,0.3556904196739197
forceful,force,ful,suffix,3.24,0.3557923436164856
retest,test,re,prefix,2.52,0.3558763861656189
redeveloped,developed,re,prefix,2.68,0.3565898537635803
antichrist,christ,anti,prefix,3.05,0.35688427090644836
rearranging,arranging,re,prefix,2.76,0.3571108281612396
overlook,look,over,prefix,3.53,0.35740894079208374
unguarded,guarded,un,prefix,2.75,0.3577488362789154
masterful,master,ful,suffix,3.06,0.35779663920402527
smokeless,smoke,less,suffix,2.63,0.3585016131401062
misusing,using,mis,prefix,2.69,0.35894694924354553
frightful,fright,ful,suffix,2.82,0.3590468168258667
repurchase,purchase,re,prefix,2.94,0.3595724403858185
intersection,section,inter,prefix,3.88,0.35977980494499207
authorship,author,ship,suffix,3.15,0.3597991466522217
intercontinental,continental,inter,prefix,3.15,0.3598819077014923
distrust,trust,dis,prefix,3.4,0.35988208651542664
forgetful,forget,ful,suffix,2.87,0.36000192165374756
